,true,pred
0,3,2
1,3,3
2,2,2
3,3,3
4,0,0
5,1,1
6,3,3
7,3,2
8,3,3
9,3,0
10,1,1
11,2,0
12,3,3
13,3,3
14,0,0
15,3,3
16,0,0
17,1,1
18,3,3
19,1,1
20,0,0
21,0,0
22,2,1
23,3,0
24,3,3
25,0,0
26,1,1
27,3,0
28,3,3
29,1,1
30,2,1
31,2,3
32,0,0
33,3,3
34,0,2
35,2,2
36,0,0
37,0,0
38,0,0
39,2,2
40,3,3
41,2,3
42,0,0
43,3,3
44,3,3
45,0,0
46,1,3
47,3,3
48,3,3
49,3,3
50,3,3
51,0,3
52,2,3
53,3,3
54,3,3
55,1,1
56,3,3
57,3,3
58,0,0
59,1,1
60,0,0
61,3,3
62,3,3
63,2,0
64,3,3
65,1,1
66,0,0
67,2,0
68,3,3
69,1,1
70,0,0
71,0,0
72,3,3
73,0,0
74,3,3
75,2,2
76,2,2
77,2,2
78,2,3
79,0,3
80,3,3
81,3,2
82,3,3
83,3,3
84,0,0
85,3,3
86,0,0
87,1,1
88,3,3
89,3,3
90,0,0
91,2,3
92,2,0
93,0,0
94,3,1
95,3,3
96,2,2
97,3,3
98,3,3
99,2,2
100,3,1
101,3,3
102,3,3
103,1,1
104,0,0
105,2,3
106,1,1
107,0,2
108,3,3
109,3,3
110,3,3
111,3,3
112,2,3
113,0,0
114,2,3
115,2,0
116,2,3
117,2,0
118,0,2
119,0,3
120,0,0
121,2,1
122,0,0
123,2,0
124,2,2
125,3,2
126,3,0
127,2,2
128,3,3
129,1,3
130,0,0
131,1,1
132,2,3
133,0,2
134,1,1
135,3,3
136,0,0
137,1,1
138,0,2
139,0,0
140,3,3
141,3,3
142,1,3
143,0,0
144,3,3
145,1,1
146,3,3
147,2,2
148,2,3
149,1,2
150,2,3
151,3,3
152,0,0
153,2,0
154,0,0
155,1,1
156,0,0
157,3,3
158,0,0
159,0,0
160,1,1
161,3,3
162,3,3
163,1,1
164,3,2
165,3,0
166,3,3
167,3,2
168,0,0
169,0,0
170,0,0
171,0,0
172,0,3
173,0,0
174,2,0
175,3,2
176,0,0
177,2,3
178,2,2
179,3,3
180,3,0
181,1,3
182,3,3
183,2,2
184,0,0
185,0,2
186,3,3
187,2,2
188,1,2
189,3,3
190,3,3
191,0,0
192,1,1
193,3,3
194,3,3
195,2,2
196,1,1
197,2,3
198,3,3
199,1,1
200,3,3
201,0,2
202,1,3
203,0,0
204,0,0
205,3,0
206,3,3
207,1,1
208,2,2
209,0,0
210,0,2
211,0,0
212,1,1
213,3,3
214,1,2
215,3,3
216,1,2
217,3,3
218,3,3
219,2,0
220,2,0
221,1,3
222,0,0
223,0,0
224,3,3
225,3,3
226,0,0
227,3,2
228,1,1
229,0,0
230,2,2
231,1,1
232,0,2
233,3,3
234,0,0
235,1,1
236,1,3
237,0,0
238,3,3
239,3,2
240,3,3
241,2,2
242,0,0
243,3,3
244,0,0
245,3,3
246,3,3
247,3,3
248,2,2
249,0,1
250,0,0
251,3,3
252,1,1
253,3,3
254,3,3
255,3,3
256,3,3
257,1,1
258,3,1
259,2,2
260,2,2
261,3,3
262,3,3
263,0,0
264,3,3
265,3,3
266,3,3
267,0,0
268,0,0
269,0,0
270,3,3
271,3,3
272,0,0
273,3,3
274,1,1
275,3,2
276,0,0
277,2,2
278,1,1
279,3,3
280,1,1
281,0,2
282,0,0
283,2,3
284,3,3
285,0,2
286,2,0
287,2,3
288,0,0
289,0,0
290,0,0
291,3,3
292,2,0
293,0,0
294,2,2
295,1,1
296,3,3
297,0,0
298,0,0
299,3,3
300,0,0
301,0,0
302,3,3
303,1,1
304,3,3
305,1,0
306,3,0
