,true,pred
0,0,0
1,0,3
2,0,0
3,0,0
4,0,3
5,0,1
6,0,0
7,0,0
8,0,0
9,0,0
10,0,0
11,0,0
12,0,0
13,0,3
14,0,0
15,0,0
16,0,0
17,0,3
18,0,0
19,0,0
20,0,0
21,0,2
22,0,0
23,0,0
24,0,0
25,0,0
26,0,0
27,0,0
28,0,3
29,0,0
30,0,0
31,0,0
32,0,0
33,0,0
34,0,1
35,0,3
36,0,0
37,0,0
38,0,1
39,0,0
40,0,0
41,0,2
42,0,0
43,0,3
44,0,0
45,0,0
46,0,3
47,0,0
48,0,0
49,0,0
50,0,3
51,0,3
52,0,0
53,0,0
54,0,3
55,0,0
56,0,0
57,0,1
58,0,3
59,0,0
60,0,3
61,0,0
62,0,0
63,0,3
64,0,3
65,0,3
66,0,0
67,0,0
68,0,0
69,0,3
70,0,0
71,0,0
72,0,0
73,0,0
74,0,0
75,0,0
76,0,0
77,0,3
78,0,2
79,0,3
80,1,1
81,1,3
82,1,1
83,1,1
84,1,1
85,1,1
86,1,1
87,1,1
88,1,1
89,1,1
90,1,1
91,1,1
92,1,1
93,1,3
94,1,1
95,1,1
96,1,1
97,1,1
98,1,1
99,1,1
100,1,1
101,1,1
102,1,3
103,1,1
104,1,1
105,1,1
106,1,3
107,1,0
108,1,3
109,1,1
110,1,3
111,1,1
112,2,0
113,2,0
114,2,3
115,2,0
116,2,3
117,2,2
118,2,0
119,2,3
120,2,3
121,2,1
122,2,2
123,2,2
124,2,0
125,2,2
126,2,0
127,2,1
128,2,3
129,2,0
130,2,0
131,2,2
132,2,2
133,2,3
134,2,2
135,2,3
136,2,0
137,2,3
138,2,3
139,2,0
140,2,0
141,2,0
142,2,2
143,3,0
144,3,3
145,3,3
146,3,3
147,3,3
148,3,3
149,3,3
150,3,3
151,3,3
152,3,3
153,3,3
154,3,3
155,3,3
156,3,3
157,3,3
158,3,3
159,3,3
160,3,3
161,3,3
162,3,3
163,3,3
164,3,3
165,3,3
166,3,3
167,3,3
168,3,3
169,3,3
170,3,3
171,3,0
172,3,3
173,3,3
174,3,3
175,3,3
176,3,3
177,3,3
178,3,3
179,3,3
180,3,3
181,3,3
182,3,3
183,3,3
184,3,3
185,3,3
186,3,1
187,3,2
188,3,3
189,3,2
190,3,3
191,3,3
192,3,3
193,3,3
194,3,2
195,3,0
196,3,3
197,3,3
198,3,3
199,3,3
200,3,3
201,3,2
202,3,3
203,3,3
204,3,3
205,3,3
206,3,3
207,3,3
208,3,2
209,3,3
210,3,3
211,3,3
212,3,3
213,3,3
214,3,0
215,3,1
216,3,3
217,3,3
218,3,0
219,3,3
220,3,3
221,3,3
222,3,3
223,3,3
224,3,3
225,3,3
226,3,3
227,3,1
228,3,3
229,3,3
230,3,3
231,3,0
232,3,3
233,3,3
234,3,1
235,3,3
236,3,1
237,3,3
238,3,1
239,3,3
240,3,3
241,3,3
242,3,3
243,3,3
244,3,3
245,3,3
246,3,3
247,3,3
248,3,2
249,3,3
250,3,3
251,3,1
252,3,3
253,3,3
254,3,3
255,3,3
256,3,3
257,3,3
258,3,3
259,3,3
260,3,0
261,3,1
262,3,2
263,3,3
264,3,3
265,3,3
266,3,0
267,3,3
268,3,3
269,3,3
270,3,3
271,3,3
272,3,1
273,3,3
274,3,3
275,3,3
276,3,3
277,0,2
278,0,0
279,0,1
280,1,0
281,1,3
282,3,3
283,3,3
284,3,3
285,3,3
286,3,2
287,3,3
288,1,1
289,3,2
290,3,3
291,3,3
292,3,3
293,3,3
294,3,3
295,1,1
296,1,2
297,3,3
298,3,0
299,1,0
300,1,0
301,1,3
302,3,3
303,3,3
304,1,0
305,1,0
306,3,2
307,1,3
308,1,3
309,3,3
310,1,0
311,1,1
