Fold,Accuracy,F1-Score,Presisi,Recall
K1,72.43589743589743,72.27227945170533,72.32450176529125,72.43589743589743
K2,68.26923076923077,67.5851729969377,67.4666970213529,68.26923076923077
K3,68.58974358974359,68.62730507963472,69.09479860846159,68.58974358974359
K4,70.83333333333334,70.64266173555384,70.73005698005697,70.83333333333334
K5,67.94871794871796,68.00289135107641,68.58962676071505,67.94871794871796
K6,67.62820512820514,66.25523180260024,66.88049182786024,67.62820512820514
K7,66.88102893890675,66.59230297401889,67.05261952783017,66.88102893890675
K8,72.34726688102894,72.51523491447742,73.29624843050992,72.34726688102894
K9,69.77491961414792,69.51054938102618,70.27557774500083,69.77491961414792
K10,72.02572347266882,72.64193204782336,73.9980187729384,72.02572347266882
