Fold,Accuracy,F1-Score,Presisi,Recall
K1,73.28990228013029,74.01475741747852,75.55245902330392,73.28990228013029
K2,70.03257328990227,71.58608387143892,73.48064639313307,70.03257328990227
K3,70.03257328990227,70.58935226284281,71.35370176957561,70.03257328990227
K4,71.00977198697068,71.49236339325617,72.6106540375455,71.00977198697068
K5,66.44951140065146,66.86198497831339,67.81497515438126,66.44951140065146
K6,71.00977198697068,70.48082106643733,71.03404644757757,71.00977198697068
K7,61.563517915309454,62.098380525071995,62.78466376186246,61.563517915309454
K8,66.77524429967427,67.59511773080546,69.00473400309744,66.77524429967427
K9,65.79804560260585,67.32916065637795,69.11007840301465,65.79804560260585
K10,65.79804560260585,66.80306003281699,68.12986620485194,65.79804560260585
