Fold,Accuracy,F1-Score,Presisi,Recall
K1,70.1923076923077,71.30992124988728,73.19312421644393,70.1923076923077
K2,65.06410256410257,64.36295457822833,64.50535898210316,65.06410256410257
K3,66.34615384615384,67.84291537543788,69.75988422172418,66.34615384615384
K4,66.02564102564102,68.17548124430596,71.52022790048788,66.02564102564102
K5,69.77491961414792,69.63295995292563,69.80251567678111,69.77491961414792
K6,69.45337620578779,70.10579011116464,71.0833240620334,69.45337620578779
K7,68.48874598070739,69.05978094145183,70.09431158088901,68.48874598070739
K8,69.45337620578779,70.24208098726612,71.65130403715612,69.45337620578779
K9,63.344051446945336,62.65338113382748,62.39909731400595,63.344051446945336
K10,65.27331189710611,65.36815974284718,65.8275474108368,65.27331189710611
